"date","ARIMA","UCM","ML"
2017-12-01 00:00:00,26047.000052908,27961.8954733559,26732.2629855195
2017-12-01 00:10:00,25580.0494481806,27425.0607307162,26056.8868917653
2017-12-01 00:20:00,25303.565535779,26970.9105458234,25462.5351040631
2017-12-01 00:30:00,24762.8858924038,26586.4965798843,25047.5643349067
2017-12-01 00:40:00,24277.5030255184,26252.3761064325,24602.4715278682
2017-12-01 00:50:00,23878.137378709,25946.8893399652,24200.894948282
2017-12-01 01:00:00,23663.0943434954,25650.597353216,23769.9326498855
2017-12-01 01:10:00,23355.8899974918,25350.0073981018,23417.0010188509
2017-12-01 01:20:00,23134.7028715641,25039.8735364652,23092.839448734
2017-12-01 01:30:00,22962.6684413964,24723.6589462114,22754.2566182304
2017-12-01 01:40:00,22680.0404382807,24412.122036208,22534.9403247764
2017-12-01 01:50:00,22673.8963575508,24120.3669979745,22381.8094318925
2017-12-01 02:00:00,22360.5479208332,23864.0060880539,22267.3787970368
2017-12-01 02:10:00,22133.2167141756,23655.2556981286,22130.4235865972
2017-12-01 02:20:00,21912.0295782638,23499.7971312889,21930.4520174974
2017-12-01 02:30:00,21783.003753142,23395.0745555885,21747.5699084641
2017-12-01 02:40:00,21776.8596724121,23330.4082442871,21507.986253765
2017-12-01 02:50:00,21819.868277458,23288.9290073547,21340.9953523194
2017-12-01 03:00:00,21451.2230642505,23250.9631507942,21316.8256177207
2017-12-01 03:10:00,21457.3671549646,23198.1910126147,21336.0237772274
2017-12-01 03:20:00,21328.3413298427,23117.7274377403,21343.2831794579
2017-12-01 03:30:00,21193.1714140069,23005.2655184567,21322.3026268068
2017-12-01 03:40:00,20990.4165502372,22866.5892034462,21361.5675684987
2017-12-01 03:50:00,21168.595071119,22717.0663259784,21440.737644187
2017-12-01 04:00:00,21242.3241097668,22579.1237556597,21436.1002032866
2017-12-01 04:10:00,21199.3155047209,22478.1062917599,21428.58049242
2017-12-01 04:20:00,20996.5606409513,22437.253313282,21437.5239392049
2017-12-01 04:30:00,21334.4854205568,22472.7267511011,21489.9845353499
2017-12-01 04:40:00,21555.6725464845,22589.649853376,21637.392020593
2017-12-01 04:50:00,21850.58871106,22779.9602102584,21894.2121868991
2017-12-01 05:00:00,21942.7500118658,23022.5687215297,22191.6269076639
2017-12-01 05:10:00,22010.3349697837,23285.904528985,22549.6515682675
2017-12-01 05:20:00,21764.5715009682,23532.4897639555,22697.9706723269
2017-12-01 05:30:00,22403.5565358632,23724.8080971652,22838.9452898807
2017-12-01 05:40:00,23153.1351337221,23831.4786656976,23046.5808919621
2017-12-01 05:50:00,22925.8039170804,23832.6700806622,23046.0086217087
2017-12-01 06:00:00,22637.0318332348,23723.8038193072,22800.2866809473
2017-12-01 06:10:00,22839.7866970045,23516.8830289348,22457.5187617416
2017-12-01 06:20:00,22876.6512213205,23239.1904609166,22106.5103026127
2017-12-01 06:30:00,22440.4210501951,22929.554362532,21889.3789550014
2017-12-01 06:40:00,21955.0381932939,22632.8013424739,21752.7760628885
2017-12-01 06:50:00,20984.2724595232,22393.3246033949,21809.0034879002
2017-12-01 07:00:00,21494.2316792806,22248.8390906059,21945.3677554173
2017-12-01 07:10:00,21881.3091446619,22225.3472966151,22129.2996384279
2017-12-01 07:20:00,22200.8016621094,22334.1110627878,22307.0470223333
2017-12-01 07:30:00,22342.1156586752,22571.0591215628,22479.3829174068
2017-12-01 07:40:00,22520.294179557,22918.6254780133,22722.2459242561
2017-12-01 07:50:00,22778.3458298006,23349.590126489,23227.8391904098
2017-12-01 08:00:00,23460.3394697416,23832.1580804544,23882.0835658061
2017-12-01 08:10:00,24283.6471162325,24335.3249486621,24481.6954585487
2017-12-01 08:20:00,24633.860067282,24833.5686921258,24490.9444574808
2017-12-01 08:30:00,25113.0988434533,25310.0752467603,23868.864261448
2017-12-01 08:40:00,25586.1935289105,25758.0148885214,23286.8606268766
2017-12-01 08:50:00,26047.000052908,26179.7751136685,23819.7420394362
2017-12-01 09:00:00,26722.8496021349,26584.4489633057,24558.2576403073
2017-12-01 09:10:00,26931.7485566186,26984.2001723988,25145.4445718837
2017-12-01 09:20:00,27613.7421965596,27390.3180542149,25854.4214817026
2017-12-01 09:30:00,28166.7100213629,27809.8015291353,26734.8332985238
2017-12-01 09:40:00,28473.9143673665,28243.1714381159,27457.3763983847
2017-12-01 09:50:00,28676.6692311361,28683.9339139436,27956.3831582334
2017-12-01 10:00:00,28977.7294864257,29119.761978562,28394.2580030703
2017-12-01 10:10:00,29702.7317413967,29535.0995135744,28852.1197027504
2017-12-01 10:20:00,30040.6565210022,29914.5940139961,29200.299388634
2017-12-01 10:30:00,30034.5124302881,30246.5914475806,29634.8642596628
2017-12-01 10:40:00,30003.7919966862,30525.912530597,29978.728844124
2017-12-01 10:50:00,30354.0049477357,30755.2775373679,30134.2245352219
2017-12-01 11:00:00,30691.9297273412,30945.0268636601,30352.7492278009
2017-12-01 11:10:00,31079.0072027067,31111.140898849,30628.8463205217
2017-12-01 11:20:00,31091.2953741506,31271.9236548792,30823.5770445109
2017-12-01 11:30:00,31115.8717170385,31444.0068181161,30910.9214957304
2017-12-01 11:40:00,31171.1685035125,31638.4940981754,30788.9885180444
2017-12-01 11:50:00,30974.5577204728,31858.0645688171,30536.8839295827
2017-12-01 12:00:00,31306.3384093643,32095.6850103328,30420.0037203235
2017-12-01 12:10:00,31761.0008426477,32335.2752821633,30343.7536812811
2017-12-01 12:20:00,32240.239618819,32554.2855945533,30332.773712889
2017-12-01 12:30:00,32154.222398743,32727.7552750449,30372.7759001628
2017-12-01 12:40:00,32160.3664894571,32833.1068262255,30526.2945530103
2017-12-01 12:50:00,32504.4353497925,32854.7516909336,30771.7867679102
2017-12-01 13:00:00,32418.4181397007,32787.5845105471,31029.6769448877
2017-12-01 13:10:00,32399.9858775427,32638.6262488038,31275.3997686828
2017-12-01 13:20:00,32172.654660901,32426.4131089389,31559.7942985027
2017-12-01 13:30:00,32055.9170072232,32178.1567372753,31746.1997057746
2017-12-01 13:40:00,31601.2545839239,31925.1411439977,31734.3787994255
2017-12-01 13:50:00,31404.6438008841,31697.1878178884,31649.6126112121
2017-12-01 14:00:00,31079.0072027067,31517.239053179,31525.237370084
2017-12-01 14:10:00,31220.3211992725,31397.1330030903,31632.3285664415
2017-12-01 14:20:00,31324.7706715223,31335.4607481163,31917.0573651067
2017-12-01 14:30:00,31300.1943286344,31318.033110267,32107.0494871502
2017-12-01 14:40:00,31373.9233672822,31321.0054086462,32141.8784515574
2017-12-01 14:50:00,31300.1943286344,31316.1983421973,32299.6360771349
2017-12-01 15:00:00,31195.7448464004,31277.7077599447,32420.7868430201
2017-12-01 15:10:00,31263.3298043184,31188.6012773858,32344.1788346232
2017-12-01 15:20:00,30968.4136297587,31046.4162465548,32412.9741319673
2017-12-01 15:30:00,31072.8631119926,30866.3249411333,32575.4765241346
2017-12-01 15:40:00,30919.2609439829,30681.1998400756,32606.9667482872
2017-12-01 15:50:00,30655.0652030252,30538.3352861156,32682.4636860666
2017-12-01 16:00:00,30403.1576434956,30493.1719729676,32722.2038327629
2017-12-01 16:10:00,30599.7684265354,30600.9234286117,32743.2751870192
2017-12-01 16:20:00,30550.6157307754,30907.4186116359,32856.1795553845
2017-12-01 16:30:00,30618.2006787092,31440.6738079487,33089.5359538227
2017-12-01 16:40:00,31275.6179757623,32204.6488055412,33483.72181264
2017-12-01 16:50:00,31890.0266677695,33176.3302752396,33983.5427579855
2017-12-01 17:00:00,32823.9278672401,34306.7678397903,34724.1205148952
2017-12-01 17:10:00,34661.0098425634,35526.0509963391,35936.4307736472
2017-12-01 17:20:00,37769.917806947,36751.5658031582,37688.8692764583
2017-12-01 17:30:00,39140.049177543,37898.3205594896,39563.16880765
2017-12-01 17:40:00,39447.2535235466,38889.7750310721,40958.0941608667
2017-12-01 17:50:00,39760.60195028,39667.5105191318,41578.7376269362
2017-12-01 18:00:00,39742.1696881221,40198.2564548636,41638.3337223098
2017-12-01 18:10:00,39662.2965587602,40477.2138521357,41505.16454679
2017-12-01 18:20:00,39447.2535235466,40527.2149345572,41430.8141792049
2017-12-01 18:30:00,39060.1760481811,40393.9296415173,41348.6644723425
2017-12-01 18:40:00,39201.4900447469,40137.9594566382,41282.2939494992
2017-12-01 18:50:00,39170.7696111449,39825.1408847536,41184.7123751495
2017-12-01 19:00:00,39183.0577825889,39516.6350886022,41056.0403901076
2017-12-01 19:10:00,39256.7868312209,39260.3669698804,40945.3111260585
2017-12-01 19:20:00,39041.7437860231,39085.1033303209,40845.6758967492
2017-12-01 19:30:00,38679.2426635297,38997.9776290547,40706.2274223394
2017-12-01 19:40:00,38427.3351040001,38985.6654914942,40649.4990222908
2017-12-01 19:50:00,38464.1996183319,39018.7971935846,40596.7288485447
2017-12-01 20:00:00,38236.8684016902,39058.6678644037,40631.0401964871
2017-12-01 20:10:00,38580.9372720098,39064.9615922768,40529.2508760687
2017-12-01 20:20:00,38433.47918473,39003.096591747,40270.3742516964
2017-12-01 20:30:00,38359.7501460821,38849.9368021219,39930.5232700963
2017-12-01 20:40:00,37997.2490136046,38596.968356009,39509.4574465986
2017-12-01 20:50:00,37616.3156289531,38250.5375251828,39078.5727506025
2017-12-01 21:00:00,37296.8231115056,37829.2962352424,38605.2791991738
2017-12-01 21:10:00,36762.2875588444,37359.5016405422,38125.162890279
2017-12-01 21:20:00,36252.3283490712,36869.1788359644,37613.5580845859
2017-12-01 21:30:00,35932.8358316236,36382.3192955002,37061.8532842121
2017-12-01 21:40:00,35416.7325311364,35914.2287775761,36491.8298311678
2017-12-01 21:50:00,35299.9948774585,35468.8752470137,35974.380972965
2017-12-01 22:00:00,34648.7216711194,35038.6748910465,35527.6587495721
2017-12-01 22:10:00,34439.8227166357,34606.6736498871,34897.4487091835
2017-12-01 22:20:00,34009.7366362244,34150.6244127719,34318.06212861
2017-12-01 22:30:00,33303.1666434114,33648.1110056414,33760.4220856998
2017-12-01 22:40:00,33032.8268217238,33081.6918563606,33105.0103807348
2017-12-01 22:50:00,32455.2826540326,32443.057835891,32197.029531532
2017-12-01 23:00:00,31570.5341503219,31735.4111283843,31376.4320680824
2017-12-01 23:10:00,30851.675986065,30973.6302974025,30502.4666811395
2017-12-01 23:20:00,30108.241468936,30182.2196708252,29682.5590654916
2017-12-01 23:30:00,29395.5273953931,29391.4648569617,28804.1306688896
2017-12-01 23:40:00,28756.542360498,28632.5502055843,27960.3898818387
2017-12-01 23:50:00,28092.9809727309,27932.5765430643,27310.90433196
2017-12-02 00:00:00,25927.5358540304,27310.4167493585,26738.9401492368
2017-12-02 00:10:00,25461.3257783179,26774.1664450655,26161.8260619006
2017-12-02 00:20:00,25185.2803370462,26320.6251939045,25603.3558565998
2017-12-02 00:30:00,24645.4581483132,25936.8446334229,25037.8286268532
2017-12-02 00:40:00,24160.8450418535,25603.3820125439,24460.6672624088
2017-12-02 00:50:00,23762.1127422247,25298.5775202042,24038.6439659598
2017-12-02 01:00:00,23547.4107400998,25002.9922026285,23768.7867028792
2017-12-02 01:10:00,23240.6935842389,24703.1332842764,23484.0284309405
2017-12-02 01:20:00,23019.8572352088,24393.7547985869,23161.20360975
2017-12-02 01:30:00,22848.0956315153,24078.3198941157,22862.5881058871
2017-12-02 01:40:00,22565.9158433384,23767.5869494363,22576.442149061
2017-12-02 01:50:00,22559.7815064015,23476.6601248308,22310.820024468
2017-12-02 02:00:00,22246.9300036354,23221.1516446627,22169.75329556
2017-12-02 02:10:00,22019.9593176685,23013.2778674942,22002.0779680923
2017-12-02 02:20:00,21799.1229586701,22858.7200623552,21820.123091482
2017-12-02 02:30:00,21670.3017534079,22754.9223623013,21573.9099610735
2017-12-02 02:40:00,21664.167416471,22691.205004657,21417.7904075501
2017-12-02 02:50:00,21707.1078149023,22650.6987625213,21303.8427308607
2017-12-02 03:00:00,21339.0472298628,22613.7299040925,21211.1757687071
2017-12-02 03:10:00,21345.181576768,22561.978728642,21135.1645010632
2017-12-02 03:20:00,21216.3603715058,22482.5600414254,21079.2844314843
